"filename", "language", "JavaScript", "YAML", "Ignore", "JSON with Comments", "JSON", "TypeScript", "HTML", "Markdown", "Vue", "SVG", "CSS", "SCSS", "comment", "blank", "total"
"e:\MyDrive\my-drive\.eslintrc.cjs", "JavaScript", -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -18
"e:\MyDrive\my-drive\.prettierignore", "Ignore", 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7
"e:\MyDrive\my-drive\.prettierrc.yaml", "YAML", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"e:\MyDrive\my-drive\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, 0, -13, -35
"e:\MyDrive\my-drive\demo.js", "JavaScript", -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -29
"e:\MyDrive\my-drive\dev-app-update.yml", "YAML", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4
"e:\MyDrive\my-drive\electron-builder.yml", "YAML", 0, -43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -44
"e:\MyDrive\my-drive\electron.vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, -2, -23
"e:\MyDrive\my-drive\package.json", "JSON", 0, 0, 0, 0, -71, 0, 0, 0, 0, 0, 0, 0, 0, -1, -72
"e:\MyDrive\my-drive\pnpm-lock.yaml", "YAML", 0, -4121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -621, -4742
"e:\MyDrive\my-drive\src\main\index.ts", "TypeScript", 0, 0, 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, -31, -13, -95
"e:\MyDrive\my-drive\src\main\ipc\handle.ts", "TypeScript", 0, 0, 0, 0, 0, -26, 0, 0, 0, 0, 0, 0, -8, -7, -41
"e:\MyDrive\my-drive\src\main\ipc\index.ts", "TypeScript", 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -3
"e:\MyDrive\my-drive\src\main\ipc\on.ts", "TypeScript", 0, 0, 0, 0, 0, -82, 0, 0, 0, 0, 0, 0, -11, -10, -103
"e:\MyDrive\my-drive\src\main\model\menu\index.ts", "TypeScript", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -5, -14
"e:\MyDrive\my-drive\src\main\plugins\auto-import.ts", "TypeScript", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -3, -11
"e:\MyDrive\my-drive\src\main\plugins\componets.ts", "TypeScript", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -3, -11
"e:\MyDrive\my-drive\src\main\plugins\index.ts", "TypeScript", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -3, -9
"e:\MyDrive\my-drive\src\main\store\index.ts", "TypeScript", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -3, -6
"e:\MyDrive\my-drive\src\main\typings\ipc.d.ts", "TypeScript", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -1, -4, -15
"e:\MyDrive\my-drive\src\main\typings\menu.d.ts", "TypeScript", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"e:\MyDrive\my-drive\src\main\utils\api\common\index.ts", "TypeScript", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -3, -9
"e:\MyDrive\my-drive\src\main\utils\api\index.ts", "TypeScript", 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, -1, -5
"e:\MyDrive\my-drive\src\main\utils\api\log\index.ts", "TypeScript", 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, -4, -3, -18
"e:\MyDrive\my-drive\src\main\utils\api\os\index.ts", "TypeScript", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -4, -3, -17
"e:\MyDrive\my-drive\src\main\utils\api\ws\index.ts", "TypeScript", 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, -8, -4, -27
"e:\MyDrive\my-drive\src\main\utils\cos\api.ts", "TypeScript", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -3, -8
"e:\MyDrive\my-drive\src\main\utils\cos\index.ts", "TypeScript", 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, -5, -21
"e:\MyDrive\my-drive\src\main\utils\http\index.ts", "TypeScript", 0, 0, 0, 0, 0, -27, 0, 0, 0, 0, 0, 0, 0, -9, -36
"e:\MyDrive\my-drive\src\preload\api\handle\index.ts", "TypeScript", 0, 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, 0, -5, -7, -44
"e:\MyDrive\my-drive\src\preload\api\index.ts", "TypeScript", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -3, -12
"e:\MyDrive\my-drive\src\preload\api\on\context-menu.ts", "TypeScript", 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, -4, -5, -39
"e:\MyDrive\my-drive\src\preload\api\on\index.ts", "TypeScript", 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, -10, -45
"e:\MyDrive\my-drive\src\preload\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, -2, -2, -28
"e:\MyDrive\my-drive\src\preload\index.ts", "TypeScript", 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, -6, -3, -24
"e:\MyDrive\my-drive\src\preload\typings\menu.d.ts", "TypeScript", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"e:\MyDrive\my-drive\src\renderer\auto-imports.d.ts", "TypeScript", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, -5, -2, -10
"e:\MyDrive\my-drive\src\renderer\components.d.ts", "TypeScript", 0, 0, 0, 0, 0, -44, 0, 0, 0, 0, 0, 0, -5, -2, -51
"e:\MyDrive\my-drive\src\renderer\index.html", "HTML", 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, -2, -2, -19
"e:\MyDrive\my-drive\src\renderer\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, -5, -24
"e:\MyDrive\my-drive\src\renderer\src\assets\css\element-plus.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -81, -6, -13, -100
"e:\MyDrive\my-drive\src\renderer\src\assets\css\font.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, -1, -2, -13
"e:\MyDrive\my-drive\src\renderer\src\assets\css\scrollbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, 0, -4, -25
"e:\MyDrive\my-drive\src\renderer\src\assets\css\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, -3, -6, -18
"e:\MyDrive\my-drive\src\renderer\src\assets\css\theme.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -66, 0, -19, -9, -94
"e:\MyDrive\my-drive\src\renderer\src\assets\css\transition.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -2, -10
"e:\MyDrive\my-drive\src\renderer\src\assets\icons.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, 0, -1, -35
"e:\MyDrive\my-drive\src\renderer\src\components\Versions.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, -3, -15
"e:\MyDrive\my-drive\src\renderer\src\components\card\card.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -43, 0, 0, 0, 0, -3, -46
"e:\MyDrive\my-drive\src\renderer\src\components\menu\left-menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -63, 0, 0, 0, 0, -7, -70
"e:\MyDrive\my-drive\src\renderer\src\components\menu\menu-item.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -69, 0, 0, 0, 0, -6, -75
"e:\MyDrive\my-drive\src\renderer\src\components\menu\menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, -3, -17
"e:\MyDrive\my-drive\src\renderer\src\components\pagination\pagination-1.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -139, 0, 0, 0, 0, -16, -155
"e:\MyDrive\my-drive\src\renderer\src\components\progress\circle-progress.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, -3, -31
"e:\MyDrive\my-drive\src\renderer\src\composables\common\drag.ts", "TypeScript", 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, -4, -32
"e:\MyDrive\my-drive\src\renderer\src\composables\common\navigate-to-view.ts", "TypeScript", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, -2, -9
"e:\MyDrive\my-drive\src\renderer\src\composables\event-listener.ts", "TypeScript", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, -3, -13
"e:\MyDrive\my-drive\src\renderer\src\composables\menu\index.ts", "TypeScript", 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, 0, -5, -28
"e:\MyDrive\my-drive\src\renderer\src\composables\mouse.ts", "TypeScript", 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, -3, -16
"e:\MyDrive\my-drive\src\renderer\src\composables\server\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -49, -10, -59
"e:\MyDrive\my-drive\src\renderer\src\directive\code-line.ts", "TypeScript", 0, 0, 0, 0, 0, -39, 0, 0, 0, 0, 0, 0, -12, -10, -61
"e:\MyDrive\my-drive\src\renderer\src\layouts\common\common-layouts.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, -3, -8
"e:\MyDrive\my-drive\src\renderer\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, -3, -16
"e:\MyDrive\my-drive\src\renderer\src\plugins\i18n\index.json", "JSON", 0, 0, 0, 0, -206, 0, 0, 0, 0, 0, 0, 0, 0, -1, -207
"e:\MyDrive\my-drive\src\renderer\src\plugins\i18n\index.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, -4, -16
"e:\MyDrive\my-drive\src\renderer\src\plugins\index.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, -4, -16
"e:\MyDrive\my-drive\src\renderer\src\plugins\pinia\index.ts", "TypeScript", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, -3, -10
"e:\MyDrive\my-drive\src\renderer\src\plugins\style\index.ts", "TypeScript", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -2, -7
"e:\MyDrive\my-drive\src\renderer\src\plugins\terminal\index.ts", "TypeScript", 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, -3, -2, -7
"e:\MyDrive\my-drive\src\renderer\src\router\index.ts", "TypeScript", 0, 0, 0, 0, 0, -79, 0, 0, 0, 0, 0, 0, -6, -4, -89
"e:\MyDrive\my-drive\src\renderer\src\store\config\index.ts", "TypeScript", 0, 0, 0, 0, 0, -83, 0, 0, 0, 0, 0, 0, -5, -15, -103
"e:\MyDrive\my-drive\src\renderer\src\store\index.ts", "TypeScript", 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -3
"e:\MyDrive\my-drive\src\renderer\src\store\server\server-info.ts", "TypeScript", 0, 0, 0, 0, 0, -146, 0, 0, 0, 0, 0, 0, -41, -18, -205
"e:\MyDrive\my-drive\src\renderer\src\typings\cos.d.ts", "TypeScript", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -2, -11
"e:\MyDrive\my-drive\src\renderer\src\typings\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -2, -2, -9
"e:\MyDrive\my-drive\src\renderer\src\typings\menu.d.ts", "TypeScript", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -1, -4
"e:\MyDrive\my-drive\src\renderer\src\typings\os.d.ts", "TypeScript", 0, 0, 0, 0, 0, -46, 0, 0, 0, 0, 0, 0, 0, -6, -52
"e:\MyDrive\my-drive\src\renderer\src\typings\setting.d.ts", "TypeScript", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -3, -6
"e:\MyDrive\my-drive\src\renderer\src\typings\vue-router.d.ts", "TypeScript", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -2, -11
"e:\MyDrive\my-drive\src\renderer\src\utils\img\img.ts", "TypeScript", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -2, -11
"e:\MyDrive\my-drive\src\renderer\src\utils\img\index.ts", "TypeScript", 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, -1, -6, -23
"e:\MyDrive\my-drive\src\renderer\src\utils\os\index.ts", "TypeScript", 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, -1, -3, -21
"e:\MyDrive\my-drive\src\renderer\src\utils\size\index.ts", "TypeScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, -3, -2, -17
"e:\MyDrive\my-drive\src\renderer\src\utils\store\index.ts", "TypeScript", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -1, -3, -14
"e:\MyDrive\my-drive\src\renderer\src\utils\time\index.ts", "TypeScript", 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, 0, -5, -5, -39
"e:\MyDrive\my-drive\src\renderer\src\views\firewall\firewall.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, -5, -22
"e:\MyDrive\my-drive\src\renderer\src\views\home\components\header.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -99, 0, 0, 0, 0, -14, -113
"e:\MyDrive\my-drive\src\renderer\src\views\home\home.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -57, 0, 0, 0, -1, -5, -63
"e:\MyDrive\my-drive\src\renderer\src\views\index\components\network-chart.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -190, 0, 0, 0, -242, -16, -448
"e:\MyDrive\my-drive\src\renderer\src\views\index\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -202, 0, 0, 0, -244, -16, -462
"e:\MyDrive\my-drive\src\renderer\src\views\log\components\mysql-log.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -96, 0, 0, 0, 0, -11, -107
"e:\MyDrive\my-drive\src\renderer\src\views\log\components\nginx-log.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -156, 0, 0, 0, 0, -11, -167
"e:\MyDrive\my-drive\src\renderer\src\views\log\components\redis-log.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, -3, -8
"e:\MyDrive\my-drive\src\renderer\src\views\log\log.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -47, 0, 0, 0, -1, -5, -53
"e:\MyDrive\my-drive\src\renderer\src\views\setting\components\common.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -67, 0, 0, 0, 0, -6, -73
"e:\MyDrive\my-drive\src\renderer\src\views\setting\components\personal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, 0, -7, -94
"e:\MyDrive\my-drive\src\renderer\src\views\setting\setting.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -58, 0, 0, 0, 0, -11, -69
"e:\MyDrive\my-drive\src\renderer\src\views\terminal\components\terminal-item.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -141, 0, 0, 0, 0, -9, -150
"e:\MyDrive\my-drive\src\renderer\src\views\terminal\terminal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -172, 0, 0, 0, -1, -18, -191
"e:\MyDrive\my-drive\src\renderer\src\views\test\test.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -174, -7, -189
"e:\MyDrive\my-drive\tsconfig.json", "JSON with Comments", 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -12
"e:\MyDrive\my-drive\tsconfig.node.json", "JSON", 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, -26, -1, -41
"e:\MyDrive\my-drive\tsconfig.web.json", "JSON", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -41, -1, -50
"e:\MyDrive\server-monitor\.eslintrc.cjs", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"e:\MyDrive\server-monitor\.prettierignore", "Ignore", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\MyDrive\server-monitor\.prettierrc.yaml", "YAML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\MyDrive\server-monitor\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 13, 35
"e:\MyDrive\server-monitor\demo1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"e:\MyDrive\server-monitor\dev-app-update.yml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\MyDrive\server-monitor\electron-builder.yml", "YAML", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
